city,banana,vendor,population,coverage,meeting_count
"Sterling Heights, MI",sterlingheightsMI,civicplus,133306,config_only,0
"Carrollton, TX",carrolltonTX,granicus,132918,config_only,0
"Santa Clara, CA",santaclaraCA,legistar,131062,has_summaries,50
"Round Rock, TX",roundrockTX,legistar,130406,has_summaries,12
"Norman, OK",normanOK,legistar,130046,config_only,0
"Columbia, MO",columbiaMO,legistar,129330,has_items,103
"Clovis, CA",clovisCA,granicus,125826,config_only,0
"Topeka, KS",topekaKS,novusagenda,125475,meetings_only,1
"Simi Valley, CA",simivalleyCA,granicus,125113,config_only,0
"Allentown, PA",allentownPA,granicus,124880,config_only,0
"Wilmington, NC",wilmingtonNC,granicus,122698,config_only,0
"Rochester, MN",rochesterMN,granicus,122413,config_only,0
"Concord, CA",concordCA,granicus,122315,config_only,0
"Lakeland, FL",lakelandFL,primegov,122264,config_only,0
"Lafayette, LA",lafayetteLA,granicus,121467,config_only,0
"Independence, MO",independenceMO,novusagenda,120922,config_only,0
"Fairfield, CA",fairfieldCA,novusagenda,120768,config_only,0
"Ann Arbor, MI",annarborMI,legistar,119381,has_summaries,17
"Broken Arrow, OK",brokenarrowOK,legistar,119194,has_summaries,68
"Berkeley, CA",berkeleyCA,berkeley,118962,has_summaries,16
"Cambridge, MA",cambridgeMA,iqm2,118214,has_summaries,40
"High Point, NC",highpointNC,granicus,116926,config_only,0
"Clearwater, FL",clearwaterFL,granicus,116850,config_only,0
"League City, TX",leaguecityTX,granicus,116320,config_only,0
"Odessa, TX",odessaTX,civicclerk,115743,config_only,0
"Evansville, IN",evansvilleIN,granicus,115332,config_only,0
"West Jordan, UT",westjordanUT,primegov,114908,has_items,30
"Westminster, CO",westminsterCO,granicus,114875,config_only,0
"Nampa, ID",nampaID,primegov,114268,meetings_only,46
